,Player,AVG SALARY,Pos,Age,Tm,G,MP,free agent,raptors free agent,salary_2020,Raptors,injuries,eFG,TOV_Factor,ORB%,DRB%,WS,FT Factor
1,Willie Cauley-Stein,2231920,C,25,SAC,81,2213,1,0.0,0.0,0,14.0,0.5576923076923077,0.09122237989053315,0.08199999999999999,0.237,6.7,0.1858974358974359
25,Ryan Arcidiacono,3000000,PG,24,CHI,81,1961,1,0.0,0.0,0,3.0,0.5436893203883495,0.12307692307692308,0.015,0.10800000000000001,3.7,0.21359223300970875
41,Noah Vonleh,200000,PF,23,NYK,68,1722,1,0.0,0.0,0,21.0,0.524390243902439,0.14937858508604207,0.067,0.258,3.2,0.25203252032520324
69,Jeff Green,2564753,PF,32,WAS,77,2097,1,0.0,0.0,0,12.0,0.5580645161290323,0.1157640426816992,0.028999999999999998,0.133,3.6,0.264516129032258
95,Dorian Finney-Smith,4000000,SF,25,DAL,81,1985,1,0.0,0.0,0,10.0,0.5077519379844961,0.11392405063291139,0.075,0.134,3.3,0.13953488372093023
118,Al-Farouq Aminu,9720900,PF,28,POR,81,2292,1,0.0,0.0,0,9.0,0.512,0.09598157153826466,0.053,0.226,5.8,0.256
120,Pascal Siakam,2351839,PF,24,0,80,2548,0,0.0,2351839.0,True,5.0,0.5926966292134832,0.12495691140985868,0.054000000000000006,0.175,9.3,0.25280898876404495
122,Kyle Lowry,33333333,PG,32,0,65,2213,0,0.0,33333333.0,True,45.0,0.5187499999999999,0.1793268346514622,0.021,0.129,6.6,0.21875
124,Serge Ibaka,23271605,PF-C,29,0,74,2010,0,0.0,23271605.0,True,25.0,0.5598086124401914,0.10609871109713928,0.086,0.23199999999999998,6.1,0.15311004784688997
125,Fred VanVleet,9346153,PG-SG,24,0,64,1760,0,0.0,9346153.0,True,17.0,0.5030674846625767,0.11075312122432542,0.013000000000000001,0.087,4.3,0.15950920245398773
126,OG Anunoby,2281800,SF,21,0,67,1352,0,0.0,2281800.0,True,0.0,0.5384615384615384,0.11067101584342963,0.048,0.10800000000000001,2.0,0.09090909090909091
127,Norman Powell,10116576,SG,25,0,60,1126,0,0.0,10116576.0,True,8.0,0.5676470588235293,0.13202565069784986,0.016,0.115,2.4,0.15294117647058825
128,Marc Gasol,25595700,C,34,0,26,648,0,0.0,25595700.0,True,27.0,0.5253623188405797,0.14858023332599604,0.040999999999999995,0.24,2.1,0.21739130434782608
131,Chris Boucher,1588231,C-PF,26,0,28,163,0,0.0,1588231.0,True,15.0,0.5269058295964125,0.07973876063183474,0.109,0.258,0.7,0.17040358744394618
133,Malachi Richardson,1000000,SG,23,0,22,103,0,0.0,1000000.0,True,14.0,0.4481481481481482,0.20316274983527347,0.022000000000000002,0.11199999999999999,-0.1,0.14074074074074072
