,name,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,free agent,salary_2020
0,Pascal Siakam,PF,24,80,2548,18.7,0.628,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,0.175,1.6,0.8,2.4,2.8,1,79,9.8,17.8,0.549,1.5,4,0.369,8.3,13.7,0.602,4.5,5.7,0.785,2.3,8,10.3,4.7,1.4,1,2.9,4.5,25.5,120,107,0,2351839
1,Danny Green,SG,31,80,2216,13,0.632,0.69,0.07,3,12.2,7.7,7.7,1.6,2,10.4,14.1,3,2.9,5.9,0.128,1.1,0.8,2,2.2,2,80,6.3,13.6,0.465,4.3,9.4,0.455,2.1,4.2,0.487,0.8,1,0.841,1.3,5.6,6.9,2.7,1.6,1.1,1.6,3.7,17.8,119,108,1,15000000
2,Kyle Lowry,PG,32,65,2213,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2,1.2,18.1,19.6,3.6,3,6.6,0.144,1.7,0.6,2.3,2.4,3,65,6.6,16,0.411,3.4,9.8,0.347,3.2,6.2,0.514,3.5,4.2,0.83,0.9,5.9,6.8,12.2,2,0.7,3.9,3.6,20.1,115,108,0,33333333
3,Kawhi Leonard,SF,27,60,2040,25.8,0.606,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1,8.4,30.3,6.1,3.4,9.5,0.224,6.1,1.1,7.2,4.7,4,60,13.2,26.5,0.496,2.6,7.1,0.371,10.5,19.4,0.542,8.6,10,0.854,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2,37.5,119,105,1,34500000
4,Serge Ibaka,PF-C,29,74,2010,18.7,0.582,0.193,0.202,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,2.8,3.3,6.1,0.146,0.2,0.1,0.2,1.2,5,51,11.1,20.9,0.529,1.2,4,0.29,9.9,16.9,0.586,3.2,4.2,0.763,3.7,10.6,14.3,2.4,0.7,2.5,2.7,5,26.5,113,105,0,23271605
5,Fred VanVleet,PG-SG,24,64,1760,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.4,0.1,0.5,1.1,6,28,6.7,16.3,0.41,3,8.1,0.378,3.6,8.3,0.441,2.6,3.1,0.843,0.6,4,4.5,8.4,1.6,0.5,2.2,3,19.1,114,110,0,9346153
6,OG Anunoby,SF,21,67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2,0.07,-2.4,0.1,-2.4,-0.1,7,6,6.5,14.3,0.453,2.4,7.2,0.332,4.1,7.2,0.574,1.3,2.2,0.581,2.1,4.9,7,1.7,1.6,0.8,1.9,5,16.6,104,109,0,2281800
7,Norman Powell,SG,25,60,1126,13.3,0.596,0.425,0.188,1.6,11.5,6.7,11.6,1.7,1,13.1,19,1,1.4,2.4,0.102,-0.9,0.2,-0.7,0.4,8,3,8.2,17,0.483,2.9,7.2,0.4,5.3,9.8,0.543,2.6,3.2,0.827,0.7,5.2,5.9,3.9,1.7,0.6,2.8,4.1,22,110,109,0,10116576
8,Marc Gasol,C,34,26,648,16,0.565,0.278,0.278,4.1,24,14.3,21.2,1.8,2.9,14.6,16.3,0.9,1.2,2.1,0.157,0.1,2.8,2.9,0.8,10,19,6.4,13.8,0.465,1.7,3.8,0.442,4.7,10,0.474,3,3.8,0.769,1.8,10.9,12.7,7.5,1.8,1.7,2.7,5.2,17.5,116,104,0,25595700
10,Jeremy Lin,PG-SG,30,23,433,8.2,0.464,0.355,0.271,1.5,13.1,7.5,15.7,1,1.1,13,19.8,-0.3,0.5,0.2,0.02,-5.4,-0.6,-6,-0.4,13,3,6.4,17.2,0.374,1.2,6.1,0.2,5.2,11.1,0.47,3.8,4.6,0.81,0.7,6,6.6,5.5,1,0.7,2.9,5.3,17.8,96,110,1,700000
12,Patrick McCaw,SF-SG,23,26,344,8.7,0.569,0.444,0.278,2.3,11.6,7.1,9.8,2.9,0.5,18.8,9.3,0.2,0.5,0.7,0.096,-4.4,2.7,-1.7,0,15,1,3.3,7.5,0.444,1.1,3.3,0.333,2.2,4.2,0.533,1.8,2.1,0.867,1,5.3,6.3,3.8,2.9,0.3,2,5.2,9.6,110,106,1,4000000
14,Chris Boucher,C-PF,26,28,163,22.2,0.563,0.487,0.197,10.9,25.8,18.5,1.9,1.8,12.2,7.8,23.6,0.2,0.4,0.7,0.194,-0.2,2.8,2.6,0.2,17,0,10,22.3,0.447,3.5,10.9,0.324,6.5,11.5,0.564,3.8,4.4,0.867,4.7,11.8,16.5,0.6,1.8,7.1,2.1,9.1,27.3,112,97,0,1588231
15,Jodie Meeks,SG,31,8,104,16,0.647,0.462,0.026,1.1,11.1,6.2,11.5,0.5,0.8,4.8,17.1,0.2,0.1,0.3,0.153,1.4,-0.8,0.5,0.1,18,0,9.7,18,0.538,3.7,8.3,0.444,6,9.7,0.619,0.5,0.5,1,0.5,5.1,5.5,3.7,0.5,0.5,0.9,2.3,23.5,127,112,1,200000
16,Malachi Richardson,SG,23,22,103,0.9,0.481,0.862,0.172,2.2,11.2,6.8,0,0.5,0,20.4,16.4,-0.2,0.1,-0.1,-0.06,-6.6,-2.1,-8.8,-0.2,19,0,4.2,13.5,0.31,3.7,11.6,0.32,0.5,1.9,0.25,1.9,2.3,0.8,0.9,5.1,6,0,0.5,0,3.7,6,14,79,112,0,1000000
17,Malcolm Miller,SF,25,10,67,13.7,0.63,0.808,0.154,1.7,6.3,4,2.1,0.7,1.2,3.5,18.5,0.1,0.1,0.2,0.13,1.2,-1.6,-0.5,0,20,0,7.9,18.6,0.423,7.2,15,0.476,0.7,3.6,0.2,2.1,2.9,0.75,0.7,2.9,3.6,0.7,0.7,0.7,0.7,3.6,25,122,112,0,1588231
19,Eric Moreland,PF,27,4,38,7.1,0.5,0.143,0,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,-0.1,0.1,0,0.026,-6.7,2.3,-4.5,0,22,0,3.8,8.8,0.429,1.3,1.3,1,2.5,7.6,0.333,0,0,,5,16.4,21.4,5,1.3,1.3,6.3,10.1,8.8,86,102,1,2000000
