,Unnamed: 0,Player,TYPE,AVG SALARY,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,free agent,Rk_y,raptors free agent,salary_2020,Raptors,Unnamed: 0_x,Unnamed: 0_y,PLAYER,2019/20(*),eFG,TOV_Factor
120,0.0,Pascal Siakam,0,0,PF,24,0,80,2548,18.7,0.628,0.226,0.32,0.054000000000000006,0.175,0.11599999999999999,0.146,0.013999999999999999,0.017,0.125,0.20800000000000002,5.7,3.6,9.3,0.175,1.6,0.8,2.4,2.8,79,9.8,17.8,0.5489999999999999,1.5,4.0,0.369,8.3,13.7,0.602,4.5,5.7,0.785,2.3,8.0,10.3,4.7,1.4,1.0,2.9,4.5,25.5,120.0,107,0.0,1.0,0.0,2351839.0,True,0.0,0.0,0,0.0,0.5926966292134832,0.12495691140985868
122,2.0,Kyle Lowry,0,0,PG,32,0,65,2213,16.5,0.562,0.613,0.263,0.021,0.129,0.076,0.348,0.02,0.012,0.18100000000000002,0.196,3.6,3.0,6.6,0.14400000000000002,1.7,0.6,2.3,2.4,65,6.6,16.0,0.41100000000000003,3.4,9.8,0.34700000000000003,3.2,6.2,0.514,3.5,4.2,0.83,0.9,5.9,6.8,12.2,2.0,0.7,3.9,3.6,20.1,115.0,108,0.0,3.0,0.0,33333333.0,True,0.0,0.0,0,0.0,0.5187499999999999,0.1793268346514622
123,3.0,Kawhi Leonard,0,0,SF,27,0,60,2040,25.8,0.606,0.267,0.377,0.042,0.18600000000000003,0.11599999999999999,0.16399999999999998,0.025,0.01,0.084,0.303,6.1,3.4,9.5,0.22399999999999998,6.1,1.1,7.2,4.7,60,13.2,26.5,0.496,2.6,7.1,0.371,10.5,19.4,0.542,8.6,10.0,0.8540000000000001,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2.0,37.5,119.0,105,0.0,4.0,1.0,34500000.0,True,0.0,0.0,0,0.0,0.5471698113207547,0.08308605341246292
124,4.0,Serge Ibaka,0,0,PF-C,29,0,74,2010,18.7,0.5820000000000001,0.193,0.20199999999999999,0.086,0.23199999999999998,0.161,0.077,0.006999999999999999,0.043,0.107,0.22899999999999998,2.8,3.3,6.1,0.146,0.2,0.1,0.2,1.2,51,11.1,20.9,0.529,1.2,4.0,0.29,9.9,16.9,0.586,3.2,4.2,0.763,3.7,10.6,14.3,2.4,0.7,2.5,2.7,5.0,26.5,113.0,105,0.0,5.0,0.0,23271605.0,True,0.0,0.0,0,0.0,0.5598086124401914,0.10609871109713928
125,5.0,Fred VanVleet,0,0,PG-SG,24,0,64,1760,13.7,0.539,0.493,0.192,0.013000000000000001,0.087,0.051,0.239,0.016,0.009000000000000001,0.11199999999999999,0.179,2.4,1.9,4.3,0.11699999999999999,0.4,0.1,0.5,1.1,28,6.7,16.3,0.41,3.0,8.1,0.37799999999999995,3.6,8.3,0.441,2.6,3.1,0.843,0.6,4.0,4.5,8.4,1.6,0.5,2.2,3.0,19.1,114.0,110,0.0,6.0,0.0,9346153.0,True,0.0,0.0,0,0.0,0.5030674846625767,0.11075312122432542
126,6.0,OG Anunoby,0,0,SF,21,0,67,1352,9.8,0.544,0.5,0.153,0.048,0.10800000000000001,0.079,0.047,0.016,0.013000000000000001,0.113,0.155,0.3,1.7,2.0,0.07,-2.4,0.1,-2.4,-0.1,6,6.5,14.3,0.45299999999999996,2.4,7.2,0.332,4.1,7.2,0.574,1.3,2.2,0.581,2.1,4.9,7.0,1.7,1.6,0.8,1.9,5.0,16.6,104.0,109,0.0,7.0,0.0,2281800.0,True,0.0,0.0,0,0.0,0.5384615384615384,0.11067101584342963
127,7.0,Norman Powell,0,0,SG,25,0,60,1126,13.3,0.596,0.425,0.188,0.016,0.115,0.067,0.11599999999999999,0.017,0.01,0.131,0.19,1.0,1.4,2.4,0.102,-0.9,0.2,-0.7,0.4,3,8.2,17.0,0.483,2.9,7.2,0.4,5.3,9.8,0.5429999999999999,2.6,3.2,0.8270000000000001,0.7,5.2,5.9,3.9,1.7,0.6,2.8,4.1,22.0,110.0,109,0.0,8.0,0.0,10116576.0,True,0.0,0.0,0,0.0,0.5676470588235293,0.13202565069784986
128,8.0,Marc Gasol,0,0,C,34,0,26,648,16.0,0.565,0.278,0.278,0.040999999999999995,0.24,0.14300000000000002,0.212,0.018000000000000002,0.028999999999999998,0.146,0.163,0.9,1.2,2.1,0.157,0.1,2.8,2.9,0.8,19,6.4,13.8,0.465,1.7,3.8,0.442,4.7,10.0,0.474,3.0,3.8,0.769,1.8,10.9,12.7,7.5,1.8,1.7,2.7,5.2,17.5,116.0,104,0.0,10.0,0.0,25595700.0,True,0.0,0.0,0,0.0,0.5253623188405797,0.14858023332599604
131,14.0,Chris Boucher,0,0,C-PF,26,0,28,163,22.2,0.563,0.48700000000000004,0.19699999999999998,0.109,0.258,0.185,0.019,0.018000000000000002,0.122,0.078,0.23600000000000002,0.2,0.4,0.7,0.19399999999999998,-0.2,2.8,2.6,0.2,0,10.0,22.3,0.447,3.5,10.9,0.324,6.5,11.5,0.564,3.8,4.4,0.867,4.7,11.8,16.5,0.6,1.8,7.1,2.1,9.1,27.3,112.0,97,0.0,17.0,0.0,1588231.0,True,0.0,0.0,0,0.0,0.5269058295964125,0.07973876063183474
133,16.0,Malachi Richardson,0,0,SG,23,0,22,103,0.9,0.48100000000000004,0.862,0.172,0.022000000000000002,0.11199999999999999,0.068,0.0,0.005,0.0,0.204,0.16399999999999998,-0.2,0.1,-0.1,-0.06,-6.6,-2.1,-8.8,-0.2,0,4.2,13.5,0.31,3.7,11.6,0.32,0.5,1.9,0.25,1.9,2.3,0.8,0.9,5.1,6.0,0.0,0.5,0.0,3.7,6.0,14.0,79.0,112,0.0,19.0,0.0,1000000.0,True,0.0,0.0,0,0.0,0.4481481481481482,0.20316274983527347
